date,category,title,link
"<pubDate>Sat, 14 Mar 2020 09:50:07 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>빌 게이츠, MS 이사직도 사임…“아내와 자선활동 전념”</title>",<link>http://www.hani.co.kr/arti/economy/it/932537.html</link>
"<pubDate>Fri, 13 Mar 2020 18:49:12 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>&amp;quot;모두 비현실적&amp;quot; 이탈리아 현지 의사가 밝히는 비상사태</title>,<link>http://www.hani.co.kr/arti/international/europe/932501.html</link>
"<pubDate>Sat, 14 Mar 2020 09:42:58 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>‘안전자산’ 금·국채마저 투매…“궤멸적 증시” 공포 가중</title>,<link>http://www.hani.co.kr/arti/international/globaleconomy/932490.html</link>
"<pubDate>Fri, 13 Mar 2020 22:26:54 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>세계증시 연쇄 충격…코스피·코스닥 첫 ‘동시 중단’</title>,<link>http://www.hani.co.kr/arti/economy/finance/932502.html</link>
"<pubDate>Fri, 13 Mar 2020 22:47:18 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>한은, 다음주 금리인하 가능성…소상공인 대출심사 빨라진다</title>",<link>http://www.hani.co.kr/arti/economy/economy_general/932525.html</link>
"<pubDate>Fri, 13 Mar 2020 22:19:18 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>서울 관악구서 같은 직장 다니는 6명 코로나19 집단감염</title>,<link>http://www.hani.co.kr/arti/area/capital/932526.html</link>
"<pubDate>Sat, 14 Mar 2020 00:47:18 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>브라질, 코로나19 의심증세에 600여명 탄 크루즈선 하선 금지</title>",<link>http://www.hani.co.kr/arti/international/america/932532.html</link>
"<pubDate>Fri, 13 Mar 2020 21:49:51 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>한겨레 새 편집국장에 임석규 기자</title>,<link>http://www.hani.co.kr/arti/society/society_general/932523.html</link>
"<pubDate>Sat, 14 Mar 2020 00:52:49 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>통합당 최고위, ‘이석연 부위원장 체제’ 공관위 유지키로</title>",<link>http://www.hani.co.kr/arti/politics/assembly/932528.html</link>
"<pubDate>Sat, 14 Mar 2020 00:50:16 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>분당제생병원 간호사 1명 추가 확진…16명으로 늘어</title>,<link>http://www.hani.co.kr/arti/area/capital/932529.html</link>
